source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-01T10:49:28+00:00,3117735,Madrid,ES,2026-06-01,40.4375,-3.6875,Europe/Madrid,33.4,19.6,26.7,0.0,0.0,0.0,17.6
forecast,2026-06-01T10:49:28+00:00,3117735,Madrid,ES,2026-06-02,40.4375,-3.6875,Europe/Madrid,30.2,20.1,25.1,0.0,0.0,0.0,17.7
forecast,2026-06-01T10:49:28+00:00,3117735,Madrid,ES,2026-06-03,40.4375,-3.6875,Europe/Madrid,30.4,15.5,23.0,0.0,0.0,0.0,13.0
forecast,2026-06-01T10:49:28+00:00,3117735,Madrid,ES,2026-06-04,40.4375,-3.6875,Europe/Madrid,28.9,19.6,24.2,0.0,0.0,0.0,16.8
forecast,2026-06-01T10:49:28+00:00,3117735,Madrid,ES,2026-06-05,40.4375,-3.6875,Europe/Madrid,24.6,14.0,19.7,0.0,0.0,0.0,13.0
forecast,2026-06-01T10:49:28+00:00,3117735,Madrid,ES,2026-06-06,40.4375,-3.6875,Europe/Madrid,28.9,13.4,21.0,0.0,0.0,0.0,13.2
forecast,2026-06-01T10:49:28+00:00,3117735,Madrid,ES,2026-06-07,40.4375,-3.6875,Europe/Madrid,31.1,16.7,23.6,0.0,0.0,0.0,9.9
forecast,2026-06-01T10:49:28+00:00,3128760,Barcelona,ES,2026-06-01,41.375,2.125,Europe/Madrid,26.0,20.9,23.2,0.0,0.0,0.0,17.8
forecast,2026-06-01T10:49:28+00:00,3128760,Barcelona,ES,2026-06-02,41.375,2.125,Europe/Madrid,25.5,20.4,22.4,0.0,0.0,0.0,23.1
forecast,2026-06-01T10:49:28+00:00,3128760,Barcelona,ES,2026-06-03,41.375,2.125,Europe/Madrid,24.2,18.8,21.5,0.1,0.0,0.0,14.0
forecast,2026-06-01T10:49:28+00:00,3128760,Barcelona,ES,2026-06-04,41.375,2.125,Europe/Madrid,25.6,17.8,21.4,9.0,4.5,0.0,19.5
forecast,2026-06-01T10:49:28+00:00,3128760,Barcelona,ES,2026-06-05,41.375,2.125,Europe/Madrid,21.7,18.0,19.7,0.0,0.0,0.0,16.3
forecast,2026-06-01T10:49:28+00:00,3128760,Barcelona,ES,2026-06-06,41.375,2.125,Europe/Madrid,24.6,16.8,20.5,0.9,0.0,0.0,9.4
forecast,2026-06-01T10:49:28+00:00,3128760,Barcelona,ES,2026-06-07,41.375,2.125,Europe/Madrid,25.2,19.4,22.3,0.0,0.0,0.0,14.7
forecast,2026-06-01T10:49:28+00:00,2509954,Valencia,ES,2026-06-01,39.5,-0.375,Europe/Madrid,26.4,19.5,23.3,0.0,0.0,0.0,14.4
forecast,2026-06-01T10:49:28+00:00,2509954,Valencia,ES,2026-06-02,39.5,-0.375,Europe/Madrid,27.3,19.8,24.2,0.0,0.0,0.0,14.8
forecast,2026-06-01T10:49:28+00:00,2509954,Valencia,ES,2026-06-03,39.5,-0.375,Europe/Madrid,26.9,21.0,24.0,0.0,0.0,0.0,21.2
forecast,2026-06-01T10:49:28+00:00,2509954,Valencia,ES,2026-06-04,39.5,-0.375,Europe/Madrid,31.2,19.3,25.1,0.0,0.0,0.0,22.2
forecast,2026-06-01T10:49:28+00:00,2509954,Valencia,ES,2026-06-05,39.5,-0.375,Europe/Madrid,24.6,20.8,22.2,0.6,0.0,0.0,18.6
forecast,2026-06-01T10:49:28+00:00,2509954,Valencia,ES,2026-06-06,39.5,-0.375,Europe/Madrid,31.2,18.1,23.8,0.9,0.3,0.0,18.9
forecast,2026-06-01T10:49:28+00:00,2509954,Valencia,ES,2026-06-07,39.5,-0.375,Europe/Madrid,27.0,19.6,23.6,0.0,0.0,0.0,15.1
forecast,2026-06-01T10:49:28+00:00,2510911,Seville,ES,2026-06-01,37.375,-6.0,Europe/Madrid,36.7,20.3,27.9,0.0,0.0,0.0,16.3
forecast,2026-06-01T10:49:28+00:00,2510911,Seville,ES,2026-06-02,37.375,-6.0,Europe/Madrid,34.8,18.9,26.5,0.0,0.0,0.0,14.1
forecast,2026-06-01T10:49:28+00:00,2510911,Seville,ES,2026-06-03,37.375,-6.0,Europe/Madrid,32.8,19.4,25.9,0.0,0.0,0.0,15.3
forecast,2026-06-01T10:49:28+00:00,2510911,Seville,ES,2026-06-04,37.375,-6.0,Europe/Madrid,35.0,19.5,26.6,0.0,0.0,0.0,14.0
forecast,2026-06-01T10:49:28+00:00,2510911,Seville,ES,2026-06-05,37.375,-6.0,Europe/Madrid,33.4,19.3,26.0,0.0,0.0,0.0,16.1
forecast,2026-06-01T10:49:28+00:00,2510911,Seville,ES,2026-06-06,37.375,-6.0,Europe/Madrid,32.1,18.7,24.9,0.0,0.0,0.0,10.7
forecast,2026-06-01T10:49:28+00:00,2510911,Seville,ES,2026-06-07,37.375,-6.0,Europe/Madrid,36.1,18.2,26.8,0.0,0.0,0.0,13.6
forecast,2026-06-01T10:49:28+00:00,3128026,Bilbao,ES,2026-06-01,43.26,-2.9300003,Europe/Madrid,26.3,14.6,20.0,0.0,0.0,0.0,12.9
forecast,2026-06-01T10:49:28+00:00,3128026,Bilbao,ES,2026-06-02,43.26,-2.9300003,Europe/Madrid,21.3,17.7,19.4,0.0,0.1,0.0,22.2
forecast,2026-06-01T10:49:28+00:00,3128026,Bilbao,ES,2026-06-03,43.26,-2.9300003,Europe/Madrid,25.8,15.7,20.0,0.0,0.0,0.0,16.9
forecast,2026-06-01T10:49:28+00:00,3128026,Bilbao,ES,2026-06-04,43.26,-2.9300003,Europe/Madrid,18.9,14.9,17.0,12.2,12.2,0.0,21.4
forecast,2026-06-01T10:49:28+00:00,3128026,Bilbao,ES,2026-06-05,43.26,-2.9300003,Europe/Madrid,17.6,12.7,15.1,1.48,1.33,0.0,14.0
forecast,2026-06-01T10:49:28+00:00,3128026,Bilbao,ES,2026-06-06,43.26,-2.9300003,Europe/Madrid,25.4,9.0,17.4,0.0,0.0,0.0,11.5
forecast,2026-06-01T10:49:28+00:00,3128026,Bilbao,ES,2026-06-07,43.26,-2.9300003,Europe/Madrid,20.8,15.0,17.9,1.2,1.2,0.0,13.9
